"_time","host.name","user.name","winlog.event_data.ProcessName","winlog.event_data.ObjectName","winlog.event_data.AccessMask"
"2025-12-05T16:03:27.123+0000","DESKTOP-00OJS0K
DESKTOP-00OJS0K",,,"C:\Program Files\data_important.txt
C:\Program Files\data_important.txt","0x1
0x1"
"2025-12-05T16:03:26.543+0000","DESKTOP-00OJS0K
DESKTOP-00OJS0K",,,"C:\Program Files\data_important.txt
C:\Program Files\data_important.txt","0x1
0x1"
"2025-12-05T16:04:18.764+0000","DESKTOP-00OJS0K
DESKTOP-00OJS0K",,,"C:\Program Files\data_important.txt
C:\Program Files\data_important.txt","0x1
0x1"
"2025-12-05T15:44:03.610+0000","DESKTOP-00OJS0K
DESKTOP-00OJS0K",,,"C:\Program Files\data_important.txt
C:\Program Files\data_important.txt","0x1
0x1"
"2025-12-05T15:41:25.714+0000","DESKTOP-00OJS0K
DESKTOP-00OJS0K",,,"C:\Program Files\data_important.txt
C:\Program Files\data_important.txt","0x1
0x1"
"2025-12-05T15:41:25.639+0000","DESKTOP-00OJS0K
DESKTOP-00OJS0K",,,"C:\Program Files\data_important.txt
C:\Program Files\data_important.txt","0x1
0x1"
"2025-12-05T15:41:25.634+0000","DESKTOP-00OJS0K
DESKTOP-00OJS0K",,,"C:\Program Files\data_important.txt
C:\Program Files\data_important.txt","0x1
0x1"
"2025-12-05T15:41:25.611+0000","DESKTOP-00OJS0K
DESKTOP-00OJS0K",,,"C:\Program Files\data_important.txt
C:\Program Files\data_important.txt","0x1
0x1"
"2025-12-05T15:41:25.610+0000","DESKTOP-00OJS0K
DESKTOP-00OJS0K",,,"C:\Program Files\data_important.txt
C:\Program Files\data_important.txt","0x1
0x1"
"2025-12-05T15:41:25.605+0000","DESKTOP-00OJS0K
DESKTOP-00OJS0K",,,"C:\Program Files\data_important.txt
C:\Program Files\data_important.txt","0x1
0x1"
"2025-12-03T07:32:51.714+0000","DESKTOP-00OJS0K
DESKTOP-00OJS0K",,,"C:\Program Files\data_important.txt
C:\Program Files\data_important.txt","0x1
0x1"
"2025-11-16T07:19:51.817+0000","DESKTOP-00OJS0K
DESKTOP-00OJS0K",,,"C:\Program Files\data_important.txt
C:\Program Files\data_important.txt","0x1
0x1"
"2025-11-16T07:19:51.345+0000","DESKTOP-00OJS0K
DESKTOP-00OJS0K",,,"C:\Program Files\data_important.txt
C:\Program Files\data_important.txt","0x1
0x1"
"2025-11-16T07:19:42.114+0000","DESKTOP-00OJS0K
DESKTOP-00OJS0K",,,"C:\Program Files\data_important.txt
C:\Program Files\data_important.txt","0x1
0x1"
"2025-11-16T07:19:07.056+0000","DESKTOP-00OJS0K
DESKTOP-00OJS0K",,,"C:\Program Files\data_important.txt
C:\Program Files\data_important.txt","0x1
0x1"
"2025-11-16T07:36:03.864+0000","DESKTOP-00OJS0K
DESKTOP-00OJS0K",,,"C:\Program Files\data_important.txt
C:\Program Files\data_important.txt","0x1
0x1"
"2025-11-16T07:35:42.588+0000","DESKTOP-00OJS0K
DESKTOP-00OJS0K",,,"C:\Program Files\data_important.txt
C:\Program Files\data_important.txt","0x1
0x1"
"2025-11-16T07:35:42.136+0000","DESKTOP-00OJS0K
DESKTOP-00OJS0K",,,"C:\Program Files\data_important.txt
C:\Program Files\data_important.txt","0x1
0x1"
"2025-11-16T07:35:29.416+0000","DESKTOP-00OJS0K
DESKTOP-00OJS0K",,,"C:\Program Files\data_important.txt
C:\Program Files\data_important.txt","0x1
0x1"
"2025-11-16T07:26:16.365+0000","DESKTOP-00OJS0K
DESKTOP-00OJS0K",,,"C:\Program Files\data_important.txt
C:\Program Files\data_important.txt","0x1
0x1"
"2025-11-16T07:26:09.993+0000","DESKTOP-00OJS0K
DESKTOP-00OJS0K",,,"C:\Program Files\data_important.txt
C:\Program Files\data_important.txt","0x1
0x1"
"2025-11-16T07:20:14.554+0000","DESKTOP-00OJS0K
DESKTOP-00OJS0K",,,"C:\Program Files\data_important.txt
C:\Program Files\data_important.txt","0x1
0x1"
